Date,Employee,Department,Status,Clock In,Clock Out,Total Hours,Overtime Hours,Notes
2026-06-30,Demo SuperAdmin,Sales,LATE,6:01 PM,1:46 AM,6.76,0,
2026-06-30,Carl  Aguiba,Information Technology,LATE,5:33 PM,1:44 AM,7.18,0,
2026-06-30,John Doe,Marketing,LATE,5:33 PM,1:52 AM,7.32,0,
2026-06-30,Fiona Garcia,Engineering,HALF_DAY,5:12 PM,9:18 PM,4,0,
2026-06-30,Edward Davis,Human Resources,PRESENT,4:40 PM,1:07 AM,7.46,0,
2026-06-30,Diana Miller,Engineering,PRESENT,4:38 PM,1:21 AM,7.71,0,
2026-06-30,Alice Williams,Sales,PRESENT,4:34 PM,1:20 AM,7.77,0,
2026-06-30,George Martinez,Human Resources,PRESENT,4:25 PM,1:07 AM,7.7,0,
2026-06-30,Test User,Information Technology,PRESENT,4:19 PM,1:35 AM,8.27,0.27,
2026-06-30,System Admin,Operations,PRESENT,4:19 PM,1:20 AM,8.01,0.01,
2026-06-30,Charlie Brown,Marketing,PRESENT,4:16 PM,1:55 AM,8.66,0.66,
2026-06-30,Demo Admin,Human Resources,PRESENT,4:14 PM,1:53 AM,8.66,0.66,
2026-06-30,Jane Smith,Engineering,PRESENT,4:13 PM,1:49 AM,8.61,0.61,
2026-06-30,Bob Johnson,Human Resources,PRESENT,4:07 PM,1:57 AM,8.84,0.84,
2026-06-30,Hannah Rodriguez,Sales,PRESENT,4:05 PM,1:41 AM,8.59,0.59,
2026-06-30,Super Admin,Operations,PRESENT,4:02 PM,1:36 AM,8.56,0.56,
